ID,Movie_Name,URL,Director,Producer,Writer,Casting,Budget,Box_Office,Duration,Year,Rating,Rating_count,Genre,Inflated_Box_Office,Inflated_Budget,Performance,Profit
The_Kashmir_Files,The Kashmir Files,https://wikipedia.org/wiki/The_Kashmir_Files,Vivek Agnihotri,"Tej Narayan Agarwal, Abhishek Agarwal, Pallavi Joshi, Vivek Agnihotri","Vivek Agnihotri, Saurabh M Pandey","Mithun Chakraborty, Anupam Kher, Darshan Kumar, Pallavi Joshi, Chinmay Mandlekar, Bhasha Sumbli",20.0,341.0,2h 50m,2022,8.6,575000,Thriller,383.15,22.47,All Time BlockBuster,17.05
3_Idiots,3 Idiots,https://wikipedia.org/wiki/3_Idiots,Rajkumar Hirani,Vidhu Vinod Chopra,,"Aamir Khan, R. Madhavan, Sharman Joshi, Kareena Kapoor, Boman Irani, Omi Vaidya",55.0,401.0,2h 50m,2009,8.4,440000,Comedy,961.02,131.81,All Time BlockBuster,7.290909090909091
Taare_Zameen_Par,Tare Zameen Par,https://wikipedia.org/wiki/Taare_Zameen_Par,Aamir Khan,Aamir Khan,Amole Gupte,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda",12.0,98.0,2h 42m,2007,8.3,209000,Drama,263.89,32.31,Blockbuster,8.166666666666666
PK_(film),PK,https://wikipedia.org/wiki/PK_(film),Rajkumar Hirani,"Vidhu Vinod Chopra, Rajkumar Hirani","Rajkumar Hirani, Abhijat Joshi","Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Boman Irani, Saurabh Shukla, Sanjay Dutt",122.0,770.0,2h 33m,2014,8.1,203000,Comedy,1378.95,218.48,Blockbuster,6.311475409836065
Radhe_(2021_film),Radhe,https://wikipedia.org/wiki/Radhe_(2021_film),Prabhu Deva,"Salman Khan, Sohail Khan, Atul Agnihotri, Nikhil Namit","A C Mugil, Vijay Maurya","Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff",170.0,300.0,1h 53m,2021,1.9,180000,Action,357.3,202.47,Hit,1.7647058823529411
Laal_Singh_Chaddha,Laal Singh Chaddha,https://wikipedia.org/wiki/Laal_Singh_Chaddha,Advait Chandan,"Aamir Khan, Kiran Rao, Jyoti Deshpande, Ajit Andhare",,"Aamir Khan, Kareena Kapoor Khan, Naga Chaitanya, Mona Singh, Manav Vij",180.0,130.0,2h 39m,2022,5.6,178000,Drama,146.07,202.25,Flop,0.7222222222222222
Adipurush,Adipurush,https://wikipedia.org/wiki/Adipurush,Om Raut,"Bhushan Kumar, Krishan Kumar, Om Raut, Prasad Sutar, Rajesh Nair","Om raut, Manoj Muntashir","Prabhas, Saif Ali Khan, Kriti Sanon, Sunny Singh, Devdatta Nage",600.0,350.0,2h 59m,2023,2.7,134000,Mythological,371.0,636.0,Flop,0.5833333333333334
12th_Fail,12th Fail,https://wikipedia.org/wiki/12th_Fail,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Yogesh Ishwar","Vidhu Vinod Chopra, Jaskunwar Kohli","Vikrant Massey, Medha Shankar, Anant V Joshi, Anshumaan Pushkar",20.0,70.0,2h 27m,2023,8.9,123000,Drama,74.2,21.2,Superhit,3.5
Rang_De_Basanti,Rang De Basanti,https://wikipedia.org/wiki/Rang_De_Basanti,Rakeysh Omprakash Mehra,"Rakeysh Omprakash Mehra, Ronnie Screwvala","Rensil D'Silva, Prasoon Joshi","Aamir Khan, Siddharth, Atul Kulkarni, Sharman Joshi, Kunal Kapoor, Alice Patten, Soha Ali Khan, Waheeda Rahman, Kirron Kher, Om Puri",28.0,97.0,2h 47m,2006,8.1,123000,Drama,276.87,79.92,Superhit,3.4642857142857144
Lagaan,Lagaan: Once Upon a Time in India,https://wikipedia.org/wiki/Lagaan,Ashutosh Gowariker,"Aamir Khan, Sanjay Dayma",,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne",25.0,66.0,3h 44m,2001,8.1,122000,Drama,252.1,95.49,Superhit,2.64
