Movie_Name,Duration,Year,Rating,Rating_count
The Kashmir Files,2h 50m,2022,8.6,575000
3 Idiots,2h 50m,2009,8.4,440000
Dangal,2h 41m,2016,8.3,214000
Like Stars on Earth,2h 42m,2007,8.3,209000
PK,2h 33m,2014,8.1,203000
Radhe,1h 53m,2021,1.9,180000
Laal Singh Chaddha,2h 39m,2022,5.6,178000
Pathaan,2h 26m,2023,5.8,158000
Dil Bechara,1h 41m,2020,8.3,135000
Adipurush,2h 59m,2023,2.7,134000
Shershaah,2h 15m,2021,8.3,130000
12th Fail,2h 27m,2023,8.9,123000
Rang De Basanti,2h 47m,2006,8.1,123000
Lagaan: Once Upon a Time in India,3h 44m,2001,8.1,122000
My Name Is Khan,2h 45m,2010,7.9,117000
Brahmastra Part One: Shiva,2h 47m,2022,5.6,112000
Gangs of Wasseypur,5h 21m,2012,8.2,105000
Andhadhun,2h 19m,2018,8.2,104000
"Swades: We, the People",3h 30m,2004,8.2,99000
Bajrangi Bhaijaan,2h 43m,2015,8.1,99000
Jawan,2h 49m,2023,7,98000
Sadak 2,2h 13m,2020,1.2,97000
Drishyam,2h 43m,2015,8.2,96000
Animal,3h 24m,2023,6.2,95000
Munna Bhai M.B.B.S.,2h 36m,2003,8.1,89000
Barfi!,2h 31m,2012,8.1,87000
Zindagi Na Milegi Dobara,2h 35m,2011,8.2,87000
Chak De! India,2h 33m,2007,8.1,85000
A Wednesday,1h 44m,2008,8.1,83000
Sooryavanshi,2h 25m,2021,5.9,79000
Dilwale Dulhania Le Jayenge,3h 9m,1995,8,78000
Dunki,2h 40m,2023,6.6,76000
Dil Chahta Hai,3h 3m,2001,8.1,76000
Kal Ho Naa Ho,3h 6m,2003,7.9,76000
Coolie No. 1,2h 14m,2020,4.2,74000
Hera Pheri,2h 36m,2000,8.2,73000
Uri: The Surgical Strike,2h 18m,2019,8.2,73000
Kick,2h 26m,2014,6,73000
Bhaag Milkha Bhaag,3h 6m,2013,8.2,73000
Hotel Mumbai,2h 3m,2018,7.6,72000
M.S. Dhoni: The Untold Story,3h 4m,2016,8,69000
Queen,2h 26m,2013,8.1,69000
Ghajini,3h 6m,2008,7.3,67000
Kahaani,2h 2m,2012,8.1,66000
