Movie_Name,URL,Director,Producer,Writer,Casting,Music By,Budget,Box Office
The Kashmir Files,https://wikipedia.org/wiki/The_Kashmir_Files,Vivek Agnihotri,Tej Narayan AgarwalAbhishek AgarwalPallavi JoshiVivek Agnihotri[1],Vivek AgnihotriSaurabh M. Pandey,Mithun ChakrabortyAnupam KherDarshan KumarPallavi JoshiChinmay MandlekarBhasha Sumbli,Rohit Sharma,₹15−25 crore[3][4],est. ₹340.92 crore[5]
3 Idiots,https://wikipedia.org/wiki/3_Idiots,Rajkumar Hirani,Vidhu Vinod Chopra,,"Aamir Khan
R. Madhavan
Sharman Joshi
Kareena Kapoor
Boman Irani
Omi Vaidya",Score:Sanjay WandrekarAtul RaningaShantanu MoitraSongs:Shantanu Moitra,₹55 crore[2][3],₹400.61 crore[4]
Dangal,https://en.wikipedia.org/wiki/Dangal_(2016_film),Nitesh Tiwari,Aamir KhanKiran RaoSiddharth Roy Kapur,Nitesh TiwariPiyush GuptaShreyas JainNikhil Mehrotra,Aamir KhanSakshi TanwarFatima Sana ShaikhZaira WasimSanya MalhotraSuhani BhatnagarAparshakti Khurana,Pritam,₹70 crore[3],"₹1,968−2,500 crore [b]"
Tare Zameen Par,https://wikipedia.org/wiki/Taare_Zameen_Par,Aamir Khan,Aamir Khan,Amole Gupte,Darsheel SafaryAamir KhanTisca ChopraVipin SharmaTanay Chheda,Shankar–Ehsaan–LoyShailendra Barve,₹12 crore[2],₹98.48 crore[3]
PK,https://wikipedia.org/wiki/PK_(film),Rajkumar Hirani,"Vidhu Vinod Chopra
Rajkumar Hirani[1]","Rajkumar Hirani
Abhijat Joshi","Aamir Khan
Anushka Sharma
Sushant Singh Rajput
Boman Irani
Saurabh Shukla
Sanjay Dutt","Songs: 
Shantanu Moitra

Guest Composers: 
Ajay-Atul
Ankit Tiwari

Background Score: 
Sanjay Wandrekar
Atul Raninga",₹122 crore[3],₹769.89 crore[4]
Radhe,https://wikipedia.org/wiki/Radhe_(2021_film),Prabhu Deva,Salman KhanSohail KhanAtul AgnihotriNikhil Namit,A.C Mugil Vijay Maurya,Salman KhanDisha PataniRandeep HoodaJackie Shroff,"Songs:
Devi Sri Prasad
Himesh Reshammiya
Sajid-Wajid
Background Score:
Sanchit Balhara
Ankit Balhara",₹90 crore[8],₹18.33 crore[9]
Laal Singh Chaddha,https://wikipedia.org/wiki/Laal_Singh_Chaddha,Advait Chandan,"Aamir Khan
Kiran Rao
Jyoti Deshpande
Ajit Andhare",,Aamir KhanKareena Kapoor KhanNaga ChaitanyaMona SinghManav Vij,Score:Tanuj TikuSongs:Pritam,₹180 crore[2],est. ₹130 crore[3]
Pathaan,https://en.wikipedia.org/wiki/Pathaan_(film),Siddharth Anand,Aditya Chopra,,"Shah Rukh Khan
Deepika Padukone
John Abraham
Dimple Kapadia
Ashutosh Rana",Score:Sanchit BalharaAnkit BalharaSongs:Vishal–Shekhar,₹250 crore[4][5],"est. ₹1,050.3 crore[6]"
Dil Bechara,https://wikipedia.org/wiki/Dil_Bechara,Mukesh Chhabra,,Shashank KhaitanSuprotim Sengupta,"Sushant Singh Rajput
Sanjana Sanghi",A. R. Rahman,est. ₹25–30 crore[1],
Adipurush,https://wikipedia.org/wiki/Adipurush,Om Raut,Bhushan KumarKrishan KumarOm RautPrasad SutarRajesh Nair,Screenplay:Om RautDialogues:Manoj Muntashir,"Prabhas
Saif Ali Khan
Kriti Sanon
Sunny Singh
Devdatta Nage",Score:Sanchit BalharaAnkit BalharaSongs:Ajay-AtulSachet–Parampara,est.₹500–700 crore[3][4][5],est. ₹350 crore[6]
